,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail
0,종묘 공영주차장,ME000001,01,03,서울특별시 종로구 종로 157,null,37.571076,126.99588,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220316144310,20211028002722,20211028004608,,,50,단독,11,11110,B0,B001,Y,,N,,N,
1,세종로 공영주차장,ME000002,01,06,서울특별시 종로구 세종대로 189,null,37.573611,126.976011,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210831224310,20210826023834,20210826030435,,,50,단독,11,11110,B0,B001,Y,,N,,N,
2,그랜드앰배서더 서울,ME000003,01,06,서울특별시 중구 동호로 287,null,37.559352,127.002350,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910103310,20210905214809,20210905221814,,,50,단독,11,11140,E0,E003,N,,N,,N,
3,한강진역 공영주차장,ME000004,01,03,서울특별시 용산구 한남동 산10-84,null,37.540085,127.002804,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095310,20210903090537,20210903093530,,,50,단독,11,11170,B0,B001,Y,,N,,N,
4,마장동사무소 앞(공중전화부스),ME000006,01,06,서울특별시 성동구 마장동 808,null,37.5660935,127.0455256,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124310,20220811085917,20220811092106,,,50,단독,11,11200,G0,G003,N,,N,,N,
5,청량리롯데백화점,ME000007,01,03,서울특별시 동대문구 왕산로 214,null,37.580650,127.047938,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20211025113310,20211023185504,20211023185509,,,50,단독,11,11230,E0,E002,N,,N,,N,
6,이마트 이문점,ME000008,01,03,서울특별시 동대문구 이문로 136,null,37.598454,127.061848,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803110810,20210714170736,20210714174044,,,50,단독,11,11230,E0,E001,N,,N,,N,
7,홈플러스 월곡점,ME000011,01,03,서울특별시 성북구 화랑로 76,null,37.60208293,127.04002398,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211029103810,20211026170744,20211026174039,,,50,단독,11,11290,E0,E001,N,,N,,N,
8,성북벤처빌딩 공영주차장,ME000012,01,06,서울특별시 성북구 장위2동 65-154,null,37.60936,127.053263,,ME,환경부,환경부,1661-9408,9,20220811124810,20220811081805,20220811085846,20220811115522,,50,단독,11,11290,B0,B001,N,,N,,N,
9,롯데마트 삼양점,ME000013,01,03,서울특별시 강북구 삼양로 247,null,37.625405,127.017897,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211123185310,00000000000000,20211008142006,,,50,단독,11,11305,E0,E001,N,,N,,N,
10,이마트 은평점,ME000016,01,03,서울특별시 은평구 은평로 111,null,37.60047527,126.92047408,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210906100310,20210821103901,20210821104005,,,50,단독,11,11380,E0,E001,N,,N,,N,
11,구파발역 환승주차장,ME000017,01,03,서울특별시 은평구 진관동 66-30,null,37.637910,126.91910,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910102810,20210908132656,20210908140712,,,50,단독,11,11380,B0,B003,Y,,N,,N,
12,홈플러스 월드컵점,ME000018,01,03,서울특별시 마포구 월드컵로 240,null,37.566685,126.898753,08:00~24:00,ME,환경부,환경부,1661-9408,9,20210903142310,20210903125236,20210903131215,,,50,단독,11,11440,E0,E001,N,,N,,N,
13,시설관리공단 마포유수지주차장,ME000019,01,03,서울특별시 마포구 마포대로1길 19,null,37.539442,126.943054,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095310,20210907094636,20210907102642,,,50,단독,11,11440,B0,B001,Y,,N,,N,
14,홈플러스 목동점,ME000021,01,03,서울특별시 양천구 목동서로 170,null,37.52992611,126.87364033,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210810163310,20210809121423,20210809124240,,,50,단독,11,11470,E0,E001,N,,N,,N,
15,해맞이공영주차장,ME000022,01,06,서울특별시 양천구 지양로 47,null,37.520062,126.834854,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811011810,20220810210143,20220810211804,,,50,단독,11,11470,B0,B001,N,,N,,N,
16,홈플러스 가양점,ME000023,01,03,서울특별시 강서구 양천로 431,null,37.56401856,126.85059572,10:00~24:00,ME,환경부,환경부,1661-9408,9,20211007154310,20210810155032,20210810162741,,,50,단독,11,11500,E0,E001,N,,N,,N,
17,롯데마트 김포공항점,ME000024,01,06,서울특별시 강서구 하늘길 77,null,37.563453,126.803539,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210728120310,20210728110633,20210728113035,,,50,단독,11,11500,E0,E001,Y,,N,,N,
18,메이필드호텔,ME000025,01,06,서울특별시 강서구 방화대로 94,null,37.546851,126.818613,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210810172810,20210810155310,20210810161627,,,50,단독,11,11500,E0,E003,N,,N,,N,
19,천왕역 환승주차장,ME000027,01,03,서울특별시 구로구 오류동 174-10,null,37.487234,126.839153,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910102810,20210209000603,20210120130054,,,50,단독,11,11530,B0,B003,Y,,N,,N,
20,구로리공원 앞(공중전화부스),ME000028,01,06,서울특별시 구로구 구로동 136-14,null,37.4912466,126.8919514,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811112649,20220811120655,20220811120935,,50,단독,11,11530,G0,G003,N,,N,,N,
21,홈플러스 시흥점,ME000029,01,03,서울특별시 금천구 시흥대로 201,null,37.45222814,126.90093936,10:00~24:00,ME,환경부,환경부,1661-9408,9,20210803110810,20190427124633,20190426165226,,,50,단독,11,11545,E0,E001,N,,N,,N,
22,제일모직아울렛 건너편(공중전화부스),ME000031,01,06,서울특별시 금천구 가산동 239-27,null,37.4744454,126.8867302,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220621135810,20220621082215,20220621090222,,,50,단독,11,11545,G0,G003,N,,N,,N,
23,영등포구 대신시장(공중전화부스),ME000032,01,06,서울특별시 영등포구 신길1동 116-15,null,37.5113404,126.9176919,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811102515,20220811110522,,,50,단독,11,11560,G0,G003,N,,N,,N,
24,동작주차공원 공영주차장,ME000035,01,06,서울특별시 동작구 현충로 213,null,37.503803,126.976775,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910103310,20210731173332,20210731181338,,,50,단독,11,11590,B0,B001,Y,,N,,N,
25,조원동 제1공영주차장,ME000036,01,06,서울특별시 관악구 신림동 571-6,null,37.481069,126.905703,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20220811124810,20220811104643,20220811112448,,,50,단독,11,11620,B0,B001,N,,N,,N,
26,사당역 공영주차장,ME000037,01,03,서울특별시 서초구 과천대로 950-18,null,37.475256,126.982638,24시간 이용가능,ME,환경부,환경부,1661-9408,9,20210910095310,20210908163408,20210908171323,,,50,단독,11,11650,B0,B001,Y,,N,,N,
