,statNm,statId,chgerId,chgerType,addr,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zprov,zscode,kind,kindDetail,parkingFree,limitYn,delYn,statUpdDt_rev,lastTsdt_rev,lastTedt_rev
0,종묘 공영주차장,ME000001,1,3,서울특별시 종로구 종로 157,서울특별시 종로구,37.571076,126.99588,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11110,B0,B001,Y,N,N,3/16/2022 14:43,10/28/2021 0:27,10/28/2021 0:46
1,세종로 공영주차장,ME000002,1,6,서울특별시 종로구 세종대로 189,서울특별시 종로구,37.573611,126.976011,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11110,B0,B001,Y,N,N,8/31/2021 22:43,8/26/2021 2:38,8/26/2021 3:04
2,그랜드앰배서더 서울,ME000003,1,6,서울특별시 중구 동호로 287,서울특별시 중구,37.559352,127.00235,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11140,E0,E003,N,N,N,9/10/2021 10:33,9/5/2021 21:48,9/5/2021 22:18
3,한강진역 공영주차장,ME000004,1,3,서울특별시 용산구 한남동 산10-84,서울특별시 용산구,37.540085,127.002804,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11170,B0,B001,Y,N,N,9/10/2021 9:53,9/3/2021 9:05,9/3/2021 9:35
4,마장동사무소 앞(공중전화부스),ME000006,1,6,서울특별시 성동구 마장동 808,서울특별시 성동구,37.5660935,127.0455256,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11200,G0,G003,N,N,N,8/11/2022 12:43,8/11/2022 8:59,8/11/2022 9:21
5,청량리롯데백화점,ME000007,1,3,서울특별시 동대문구 왕산로 214,서울특별시 동대문구,37.58065,127.047938,24시간 이용가능,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11230,E0,E002,N,N,N,10/25/2021 11:33,10/23/2021 18:55,10/23/2021 18:55
6,이마트 이문점,ME000008,1,3,서울특별시 동대문구 이문로 136,서울특별시 동대문구,37.598454,127.061848,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11230,E0,E001,N,N,N,8/3/2021 11:08,7/14/2021 17:07,7/14/2021 17:40
7,홈플러스 월곡점,ME000011,1,3,서울특별시 성북구 화랑로 76,서울특별시 성북구,37.60208293,127.040024,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,,50,단독,11,KR-11,11290,E0,E001,N,N,N,10/29/2021 10:38,10/26/2021 17:07,10/26/2021 17:40
8,성북벤처빌딩 공영주차장,ME000012,1,6,서울특별시 성북구 장위2동 65-154,서울특별시 성북구,37.60936,127.053263,,ME,환경부,환경부,1661-9408,9,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,11,KR-11,11290,B0,B001,N,N,N,8/11/2022 12:48,8/11/2022 8:18,8/11/2022 8:58
9,롯데마트 삼양점,ME000013,1,3,서울특별시 강북구 삼양로 247,서울특별시 강북구,37.625405,127.017897,10:00~24:00,ME,환경부,환경부,1661-9408,9,2.02E+13,0,2.02E+13,,50,단독,11,KR-11,11305,E0,E001,N,N,N,11/23/2021 18:53,#VALUE!,10/8/2021 14:20
